epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5527842044830322,0.5130350589752197,2325.0,3305.0,0.687579870223999,0.14511123299598694,0.19438669085502625,6398.0,561.0,0.597839891910553,0.538728654384613,339.0,294.0,0.682104766368866,0.06962025165557861,0.060941826552152634,919.0,22.0
1,0.6960839033126831,0.5689329504966736,2848.0,978.0,0.6766513586044312,0.03740157559514046,0.01316701341420412,8725.0,38.0,0.7706480026245117,0.6395648717880249,361.0,0.0,0.6698039770126343,0.0,0.0,1213.0,0.0
2,0.7707522511482239,0.6554316282272339,2886.0,0.0,0.662473738193512,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7321868538856506,361.0,0.0,0.6530149579048157,0.0,0.0,1213.0,0.0
3,0.7707522511482239,0.7236921787261963,2886.0,0.0,0.6427481770515442,0.0,0.0,9703.0,0.0,0.7706480026245117,0.7985191941261292,361.0,0.0,0.6291064023971558,0.0,0.0,1213.0,0.0
4,0.7707522511482239,0.7579125761985779,2886.0,0.0,0.614730179309845,0.0,0.0,9703.0,0.0,0.7706480026245117,0.8009422421455383,361.0,0.0,0.5951457023620605,0.0,0.0,1213.0,0.0
5,0.7707522511482239,0.7791957259178162,2886.0,0.0,0.5761783719062805,0.0,0.0,9703.0,0.0,0.7706480026245117,0.8098393678665161,361.0,0.0,0.5497673749923706,0.0,0.0,1213.0,0.0
6,0.7707522511482239,0.7903941869735718,2886.0,0.0,0.527213454246521,0.0,0.0,9703.0,0.0,0.7706480026245117,0.833069920539856,361.0,0.0,0.49663108587265015,0.0,0.0,1213.0,0.0
7,0.7707522511482239,0.8091123104095459,2886.0,0.0,0.4789139926433563,0.0,0.0,9703.0,0.0,0.7706480026245117,0.8349745273590088,361.0,0.0,0.45755988359451294,0.0,0.0,1213.0,0.0
8,0.7707522511482239,0.8192817568778992,2886.0,0.0,0.45016640424728394,0.0,0.0,9703.0,0.0,0.7706480026245117,0.8198190331459045,361.0,0.0,0.43814975023269653,0.0,0.0,1213.0,0.0
9,0.7707522511482239,0.8221323490142822,2886.0,0.0,0.43115657567977905,0.0,0.0,9703.0,0.0,0.7706480026245117,0.8097914457321167,361.0,0.0,0.4208677113056183,0.0,0.0,1213.0,0.0
